Firm,Sector,Super Sector,Start_Price,End_Price,Pct_Change
ACWA POWER Co.,Utilities,Utilities,72.65,401.4,452.51204404679964
AL Maather REIT Fund,REITs,Real Estate,8.77,9.48,8.095781071835814
ARTEX Industrial Investment Co.,Consumer Durables & Apparel,Consumer Discretionary,12.22,15.98,30.769230769230766
AYYAN Investment Co.,Health Care Equipment & Svc,Healthcare,10.29,15.14,47.133138969873684
Abdullah Al Othaim Markets Co.,Consumer Staples Distribution & Retail,Consumer Discretionary,8.25,10.5,27.27272727272727
Abdullah Saad Mohammed Abo Moati for Bookstores Co.,Consumer Discretionary Distribution & Retail,Consumer Discretionary,18.96,31.0,63.50210970464134
Ades Holding Co.,Energy,Energy,17.54,17.36,-1.0262257696693258
Advanced Petrochemical Co.,Materials,Industrial,41.32,32.1,-22.313649564375602
Al Gassim Investment Holding Co.,Food & Beverages,Consumer Staples,11.2,18.58,65.89285714285714
Al Hammadi Holding,Health Care Equipment & Svc,Healthcare,15.85,38.4,142.2712933753943
Al Hassan Ghazi Ibrahim Shaker Co.,Capital Goods,Financial Services,12.35,27.05,119.02834008097167
Al Jouf Cement Co.,Materials,Industrial,12.94,10.28,-20.5564142194745
Al Majed Oud Co.,Household & Personal Products,Consumer Staples,122.2,146.0,19.47626841243862
Al Moammar Information Systems Co.,Software & Services,Information Technology,24.22,163.0,572.9975227085055
Al Rajhi Bank,Banks,Financial Services,40.7,94.6,132.43243243243242
Al Rajhi REIT Fund,REITs,Real Estate,9.66,8.36,-13.457556935817813
Al Sagr Cooperative Insurance Co.,Insurance,Financial Services,19.38,17.54,-9.494324045407636
Al Taiseer Group Talco Industrial Co.,Capital Goods,Financial Services,49.2,55.4,12.601626016260154
Al Yamamah Steel Industries Co.,Materials,Industrial,19.04,33.45,75.68277310924371
Al-Ahlia Insurance Co.,Insurance,Financial Services,11.24,14.76,31.316725978647682
Al-Babtain Power and Telecommunication Co.,Capital Goods,Financial Services,18.1,39.0,115.46961325966849
Al-Baha Investment and Development Co.,Financial Services,Financial Services,1.8,4.7,161.11111111111111
Al-Etihad Cooperative Insurance Co.,Insurance,Financial Services,11.79,17.4,47.58269720101781
Al-Jouf Agricultural Development Co.,Food & Beverages,Consumer Staples,22.5,59.6,164.88888888888889
Al-Omran Industrial Trading Co.,Capital Goods,Financial Services,51.97,38.85,-25.245333846449867
Al-Rajhi Company for Cooperative Insurance,Insurance,Financial Services,25.2,171.6,580.952380952381
AlAhli REIT Fund 1,REITs,Real Estate,9.6,7.08,-26.249999999999996
AlJazira REIT,REITs,Real Estate,12.42,15.04,21.095008051529785
AlSaif Stores for Development and Investment Co.,Consumer Discretionary Distribution & Retail,Consumer Discretionary,9.8,8.02,-18.163265306122458
Alahli Takaful Co.,Insurance,Financial Services,25.75,34.0,32.038834951456316
Alamar Foods Co.,Consumer Services,Consumer Discretionary,122.0,74.9,-38.60655737704918
Aldawaa Medical Services Co.,Consumer Staples Distribution & Retail,Consumer Discretionary,78.6,78.4,-0.2544529262086369
Aldrees Petroleum and Transport Services Co.,Energy,Energy,37.21,120.2,223.03144316044077
Alinma Bank,Banks,Financial Services,15.18,28.95,90.71146245059289
Alinma Hospitality REIT Fund,REITs,Real Estate,9.52,8.4,-11.764705882352935
Alinma Retail REIT Fund,REITs,Real Estate,8.23,4.73,-42.527339003645196
Alinma Tokio Marine Co.,Insurance,Financial Services,12.46,12.8,2.728731942215087
Alistithmar AREIC Diversified REIT Fund,REITs,Real Estate,9.5,8.34,-12.210526315789476
Aljazira Takaful Taawuni Co.,Insurance,Financial Services,12.56,16.46,31.050955414012744
Alkhabeer REIT Fund,REITs,Real Estate,6.16,5.7,-7.467532467532467
Alkhaleej Training and Education Co.,Consumer Services,Consumer Discretionary,11.41,31.85,179.14110429447854
Alkhorayef Water and Power Technologies Co.,Utilities,Utilities,66.83,150.0,124.45009726170882
Allied Cooperative Insurance Group,Insurance,Financial Services,16.76,13.46,-19.689737470167067
Almarai Co.,Food & Beverages,Consumer Staples,49.35,57.2,15.906788247213782
Almasane Alkobra Mining Co.,Materials,Industrial,62.8,67.5,7.484076433121024
Almunajem Foods Co.,Consumer Staples Distribution & Retail,Consumer Discretionary,63.4,95.8,51.10410094637224
Alujain Corp.,Materials,Industrial,29.8,38.3,28.523489932885894
Amana Cooperative Insurance Co.,Insurance,Financial Services,13.45,10.6,-21.189591078066915
Americana Restaurants International PLC - Foreign Company,Consumer Services,Consumer Discretionary,2.74,2.28,-16.788321167883225
Amlak International Finance Co.,Financial Services,Financial Services,15.64,12.82,-18.0306905370844
Anaam International Holding Group,Consumer Staples Distribution & Retail,Consumer Discretionary,12.6,26.4,109.52380952380952
Arab National Bank,Banks,Financial Services,20.28,21.08,3.944773175542392
Arab Sea Information System Co.,Software & Services,Information Technology,2.81,6.54,132.74021352313167
Arabia Insurance Cooperative Co.,Insurance,Financial Services,15.67,13.4,-14.486279514996806
Arabian Cement Co.,Materials,Industrial,36.7,26.0,-29.15531335149864
Arabian Contracting Services Co.,Media and Entertainment,Communication Services,94.55,145.2,53.569539925965096
Arabian Drilling Co.,Energy,Energy,123.0,111.6,-9.268292682926834
Arabian Internet and Communications Services Co.,Software & Services,Information Technology,196.2,270.0,37.61467889908258
Arabian Mills for Food Products Co.,Food & Beverages,Consumer Staples,65.8,49.05,-25.455927051671733
Arabian Pipes Co.,Materials,Industrial,2.53,9.14,261.2648221343874
Arabian Shield Cooperative Insurance Co.,Insurance,Financial Services,13.04,19.2,47.239263803680984
Ash-Sharqiyah Development Co.,Food & Beverages,Consumer Staples,19.97,19.62,-1.752628943415112
Astra Industrial Group,Capital Goods,Financial Services,14.0,180.0,1185.7142857142858
Ataa Educational Co.,Consumer Services,Consumer Discretionary,29.6,71.6,141.89189189189187
BAAN Holding Group Co.,Consumer Services,Consumer Discretionary,3.47,2.47,-28.818443804034583
Baazeem Trading Co.,Consumer Discretionary Distribution & Retail,Consumer Discretionary,4.27,6.45,51.05386416861829
Bank Albilad,Banks,Financial Services,13.44,32.54,142.11309523809524
Bank Aljazira,Banks,Financial Services,9.62,14.95,55.4054054054054
Banque Saudi Fransi,Banks,Financial Services,18.09,15.84,-12.437810945273633
Basic Chemical Industries Co.,Materials,Industrial,23.98,30.85,28.648874061718104
Batic Investments and Logistics Co.,Capital Goods,Financial Services,1.83,3.66,100.0
Bawan Co.,Capital Goods,Financial Services,16.38,56.0,241.88034188034192
BinDawood Holding Co.,Consumer Staples Distribution & Retail,Consumer Discretionary,10.56,6.47,-38.731060606060616
Bonyan REIT Fund,REITs,Real Estate,9.79,9.83,0.4085801838610922
Bupa Arabia for Cooperative Insurance Co.,Insurance,Financial Services,81.15,207.0,155.08317929759704
Buruj Cooperative Insurance Co.,Insurance,Financial Services,19.36,19.66,1.5495867768595077
CHUBB Arabia Cooperative Insurance Co.,Insurance,Financial Services,15.59,49.5,217.51122514432328
City Cement Co.,Materials,Industrial,21.0,18.2,-13.333333333333336
Dallah Healthcare Co.,Health Care Equipment & Svc,Healthcare,39.36,150.0,281.0975609756098
Derayah REIT Fund,REITs,Real Estate,10.5,5.91,-43.71428571428571
Development Works Food Co.,Consumer Services,Consumer Discretionary,211.6,132.0,-37.61814744801512
Dr. Soliman Abdel Kader Fakeeh Hospital Co.,Health Care Equipment & Svc,Healthcare,63.3,67.0,5.845181674565566
Dr. Sulaiman Al Habib Medical Services Group,Health Care Equipment & Svc,Healthcare,55.0,280.4,409.81818181818176
Dur Hospitality Co.,Consumer Services,Consumer Discretionary,23.32,27.0,15.780445969125212
East Pipes Integrated Company for Industry,Materials,Industrial,56.65,140.4,147.83759929391
Eastern Province Cement Co.,Materials,Industrial,35.75,34.4,-3.7762237762237802
Electrical Industries Co.,Capital Goods,Financial Services,0.64,7.24,1031.25
Elm Co.,Software & Services,Information Technology,166.4,995.0,497.9567307692308
Etihad Atheeb Telecommunication Co.,Telecommunication Services,Communication Services,9.37,109.0,1063.2870864461045
Etihad Etisalat Co.,Telecommunication Services,Communication Services,30.15,53.4,77.11442786069652
Fawaz Abdulaziz Alhokair Co.,Consumer Discretionary Distribution & Retail,Consumer Discretionary,46.47,13.22,-71.55153862707124
Filing and Packing Materials Manufacturing Co.,Materials,Industrial,29.8,44.5,49.32885906040268
First Milling Co.,Food & Beverages,Consumer Staples,70.5,60.5,-14.184397163120568
Fitaihi Holding Group,Consumer Durables & Apparel,Consumer Discretionary,1.98,4.21,112.62626262626263
Fourth Milling Co.,Food & Beverages,Consumer Staples,5.3,4.04,-23.773584905660375
Gulf General Cooperative Insurance Co.,Insurance,Financial Services,12.0,10.38,-13.499999999999993
Gulf Insurance Group,Insurance,Financial Services,25.4,31.7,24.803149606299215
Gulf Union Alahlia Cooperative Insurance Co.,Insurance,Financial Services,11.21,15.58,38.98305084745762
Hail Cement Co.,Materials,Industrial,12.32,11.72,-4.870129870129867
Halwani Bros. Co.,Food & Beverages,Consumer Staples,31.99,53.1,65.98937167864959
Herfy Food Services Co.,Consumer Services,Consumer Discretionary,53.5,25.1,-53.0841121495327
Jadwa REIT Al Haramain Fund,REITs,Real Estate,8.13,5.95,-26.81426814268143
Jadwa REIT Saudi Fund,REITs,Real Estate,15.14,10.08,-33.4214002642008
Jahez International Company for Information System Technology,Consumer Services,Consumer Discretionary,34.2,30.3,-11.403508771929829
Jamjoom Pharmaceuticals Factory Co.,Pharma Biotech & Life Science,Healthcare,78.0,152.2,95.12820512820511
Jarir Marketing Co.,Consumer Discretionary Distribution & Retail,Consumer Discretionary,16.48,12.66,-23.179611650485437
Jazan Development and Investment Co.,Food & Beverages,Consumer Staples,11.88,13.3,11.952861952861952
